"","Symbol","vst.mean","vst.variance","vst.variance.expected","vst.variance.standardized","vst.variable","symbol.unique","prev.names"
"UBE2W","Ube2w",0.380680137999014,0.538625128849349,0.655895784112089,0.821205352887762,FALSE,"Ube2w","ENSMUSG00000025939"
"ELOC","Eloc",0.128043371118778,0.14537378360772,0.177440794179682,0.819280505814862,FALSE,"Eloc","ENSMUSG00000079658"
"TMEM70","Tmem70",0.0386397240019714,0.0432623450503971,0.0479302813374396,0.902609870904384,FALSE,"Tmem70","ENSMUSG00000025940"
"LY96","Ly96",0.0185312962050271,0.0209499326018785,0.0229700109602956,0.912055838288066,FALSE,"Ly96","ENSMUSG00000025779"
"JPH1","Jph1",0.0043371118777723,0.0104307144200885,0.00515673360249568,2.02273672136959,TRUE,"Jph1","ENSMUSG00000042686"
"IL17F","Il17f",0.0249383932971907,0.0686800657034514,0.0309184637227379,2.22132853428105,TRUE,"Il17f","ENSMUSG00000041872"
"MCM3","Mcm3",0.0565795958600296,0.0685649952658071,0.0711619706162863,0.963506134976462,FALSE,"Mcm3","ENSMUSG00000041859"
"PAQR8","Paqr8",0.0260226712666338,0.0367833216468463,0.032270774535767,1.13983386441741,TRUE,"Paqr8","ENSMUSG00000025931"
"EFHC1","Efhc1",0.00108427796944308,0.00108320908343219,0.00118642178975629,0.913005048276041,FALSE,"Efhc1","ENSMUSG00000041809"
"TRAM2","Tram2",0.00995564317397733,0.0110404653035714,0.0121619808866285,0.907785122052764,FALSE,"Tram2","ENSMUSG00000041779"
"TMEM14A","Tmem14a",0.00364711680630853,0.00363417356843125,0.00428729478272606,0.847661229891096,FALSE,"Tmem14a","ENSMUSG00000025933"
"GM28836","Gm28836",0.000492853622474125,0.000492659279563055,0.000513366159989407,0.959664500623144,FALSE,"Gm28836","ENSMUSG00000099343"
"KCNQ5","Kcnq5",0.185214391325776,1.17793593835754,0.275281478172876,4.27902358769591,TRUE,"Kcnq5","ENSMUSG00000028033"
"GM29107","Gm29107",0.00256283883686545,0.00255652269225567,0.00294369886551236,0.868472900610605,FALSE,"Gm29107","ENSMUSG00000100775"
"OGFRL1","Ogfrl1",0.17772301626417,0.419022614518509,0.261968866078055,1.59951302913094,TRUE,"Ogfrl1","ENSMUSG00000026158"
"B3GAT2","B3gat2",0.007885657959586,0.00841572824953009,0.00957604096412667,0.878831688487621,FALSE,"B3gat2","ENSMUSG00000026156"
