,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
NOP14,1.55899620353163e-17,0.0849697471596814,0.067,0.184,2.68084987159299e-13,NOP14
ACTR8,1.60009614402009e-17,0.302301047760423,0.09,0.139,2.75152532925694e-13,ACTR8
GEMIN7,1.6155102273508e-17,-0.351723195725053,0.045,0.298,2.77803138695244e-13,GEMIN7
SLU7,1.63377618591381e-17,-0.119636935318098,0.06,0.239,2.80944152929739e-13,SLU7
CCDC88B,1.63389911891594e-17,0.11047188982698,0.104,0.225,2.80965292488785e-13,CCDC88B
CAB39L,1.63799438915139e-17,0.165579465034199,0.067,0.153,2.81669515158473e-13,CAB39L
NAA15,1.66535958988025e-17,0.159347876270131,0.119,0.243,2.86375235075807e-13,NAA15
DENND1B,1.69469876589495e-17,0.61163760025951,0.157,0.117,2.91420399783295e-13,DENND1B
UBE2R2,1.70455140057811e-17,-0.417518426973657,0.052,0.32,2.93114658843412e-13,UBE2R2
DOCK11,1.70831213351588e-17,0.4080542327385,0.224,0.26,2.93761354479391e-13,DOCK11
VAV2,1.71578423336405e-17,0.185887779778089,0.09,0.176,2.95046256769282e-13,VAV2
TOR1A,1.7221386106239e-17,-0.0903056804318216,0.052,0.217,2.96138955482886e-13,TOR1A
TIA1,1.74224368756881e-17,0.154248314464439,0.119,0.236,2.99596224514333e-13,TIA1
LIMA1,1.74913283574118e-17,0.941297602406027,0.224,0.183,3.00780882434053e-13,LIMA1
GLMP,1.77118882734918e-17,-0.0877110910884479,0.112,0.321,3.04573630750965e-13,GLMP
UBAC1,1.77335979446572e-17,-0.0281916079759585,0.06,0.204,3.04946950256325e-13,UBAC1
CALU,1.79166031056485e-17,0.565318061241453,0.104,0.088,3.08093907004732e-13,CALU
SPRYD3,1.79914665078699e-17,0.304750468226385,0.075,0.139,3.09381258069331e-13,SPRYD3
SMS,1.86086526120722e-17,-0.296594924432695,0.104,0.367,3.19994390317194e-13,SMS
BCCIP,1.88488404961001e-17,-0.575676313802668,0.015,0.287,3.24124661170938e-13,BCCIP
ORMDL2,1.88908160477857e-17,-0.102823326201713,0.067,0.248,3.24846472757723e-13,ORMDL2
ATF6B,1.94220232922611e-17,-0.0197075377517715,0.082,0.249,3.33981112533723e-13,ATF6B
TLR12,1.94666970837821e-17,0.62980251550486,0.179,0.181,3.34749323052716e-13,TLR12
TRP53BP1,1.98375360383915e-17,0.15889229458224,0.09,0.181,3.41126269716181e-13,TRP53BP1
SARS,2.00587234930333e-17,-0.336002079625374,0.037,0.275,3.449298091862e-13,SARS
YIPF5,2.01030887408987e-17,-0.125528533071888,0.082,0.278,3.45692713988494e-13,YIPF5
