p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.000137477195161906,-0.214906861522262,0.801,0.801,1,1,SNX20
0.000139167938015846,0.156594572713533,0.274,0.165,1,1,PTTG1IP
0.000141467703643994,0.121639069642666,0.647,0.514,1,1,MRPL14
0.000141537654099468,-0.234758802105677,0.316,0.362,1,1,NAE1
0.000141996270509006,-0.251540506195514,0.117,0.206,1,1,BRIX1
0.000144683865336198,0.195861758443431,0.985,0.969,1,1,CHCHD2
0.000145520867728393,-0.159145425009715,0.398,0.387,1,1,CGGBP1
0.000147329430073204,0.157900932238267,0.128,0.051,1,1,NMNAT3
0.000149038993554838,-0.260130966612976,0.598,0.623,1,1,PIK3R1
0.00014928290069118,-0.0240607854756272,0.684,0.601,1,1,COX7B
0.000149745120400922,-0.204226890974987,0.071,0.148,1,1,GPN1
0.000150624731814638,-0.22580565507036,0.132,0.22,1,1,PFDN4
0.00015095258354798,-0.264015741647191,0.376,0.422,1,1,CYLD
0.000151133428517782,0.224247911436767,0.211,0.11,1,1,PLXNA4
0.000152758560120643,-0.266941273847965,0.165,0.281,1,1,VKORC1
0.00015296502036053,-0.212588968457497,0.477,0.504,1,1,NUDT21
0.000153231865260295,0.260733856830896,0.301,0.182,1,1,ACADM
0.000155847154833242,-0.293898352396599,0.226,0.327,1,1,SYPL
0.000156906319806151,-0.199705026410175,0.064,0.126,1,1,ATG7
0.000157137760023705,0.192504213661808,0.286,0.17,1,1,TMEM242
0.000157440800553085,0.1676198580125,0.951,0.871,1,1,ATP5L
0.000158077574190044,-0.214552565411168,0.447,0.461,1,1,AKIRIN1
0.000159345223997354,0.077025430388602,0.44,0.334,1,1,RPA3
0.000160837819024346,-0.314527660021634,0.32,0.391,1,1,MYO5B
0.00016103448633517,0.0745860111684156,0.586,0.468,1,1,GTF2A1
0.000161906511979625,-0.253475016087406,0.41,0.387,1,1,CYP51
0.000162150520362843,-0.215294432879901,0.075,0.145,1,1,COQ2
0.000162417674676955,0.037421681351347,0.774,0.67,1,1,UQCRQ
0.000163700200055219,-0.252040192912989,0.211,0.273,1,1,PPHLN1
0.000163805018623302,0.246623534920344,0.977,0.967,1,1,MARCKSL1
0.00016414084530176,-0.207646666183678,0.068,0.158,1,1,POFUT2
0.000164707663358862,-0.189077355927994,0.308,0.318,1,1,USP14
0.000164846443053719,-0.300418796709276,0.15,0.257,1,1,SYNE1
0.000165218112036766,-0.244846741795241,0.071,0.157,1,1,GM9844
0.000166301555852713,0.278186526158745,0.82,0.711,1,1,RPS27L
0.000166933920964437,-0.256183354543555,0.117,0.215,1,1,SEC24B
0.000167127761074361,-0.246277641078677,0.094,0.181,1,1,CNTLN
0.000167346351489489,0.172129233526954,0.188,0.093,1,1,HTATIP2
0.000169803561069887,-0.254327788841556,0.402,0.443,1,1,PDE6D
0.000170164513961765,-0.190037311903797,0.071,0.165,1,1,CCNH
0.000171119548737574,-0.279089237739684,0.256,0.358,1,1,MED21
0.000171424096047353,-0.216341953063634,0.064,0.148,1,1,ATF1
0.0001717843506638,-0.225455935943985,0.729,0.757,1,1,ARF1
0.000171785338668686,-0.256454782558112,0.09,0.185,1,1,TEP1
0.000173176528889333,-0.0436411398918382,0.372,0.316,1,1,SPAG7
0.00017613180876698,-0.243981606015357,0.09,0.178,1,1,DDX10
0.000176213339530373,0.0740366345724743,0.398,0.29,1,1,RFTN1
0.000176441964295135,-0.190132815238504,0.165,0.205,1,1,ZRSR2
0.000177591062070816,-0.235562719393541,0.609,0.621,1,1,BRI3BP
0.000177700728089133,-0.162709449653338,1,0.998,1,1,RPL23
0.00017863611182873,-0.294571258220511,0.259,0.334,1,1,MAN2B1
0.000178915635781319,0.0858635055041663,0.462,0.352,1,1,ADRM1
0.000180475533907705,-0.239695785553521,0.56,0.583,1,1,NCOR1
0.00018122978732893,-0.126536841245357,0.462,0.395,1,1,ATP2B1
0.00018192761440749,-0.227551116168332,0.117,0.199,1,1,THOC3
0.000184329885652593,-0.189861347021676,0.173,0.213,1,1,UPF3A
0.000184668795663522,-0.195955008409573,0.959,0.969,1,1,RACK1
0.000185147921509914,-0.241793622697173,0.056,0.131,1,1,USP36
0.000186133602772937,-0.235137185400382,0.18,0.264,1,1,EXOSC3
0.000186345665779471,0.182157520770409,0.203,0.105,1,1,RABGEF1
0.000186925907188145,-0.32761532276881,0.075,0.148,1,1,KPNA2
0.00018696421486781,0.0884383621983774,0.154,0.076,1,1,PLCL1
0.000190271340580356,-0.183338870769514,0.447,0.439,1,1,WAC
0.000191249685598405,-0.220589258476163,0.094,0.179,1,1,MSH2
0.000191437949200409,0.224893947615077,0.65,0.512,1,1,USE1
0.000191585156210869,-0.290068412452966,0.35,0.448,1,1,SNX5
0.000191796734081592,-0.229851242791404,0.342,0.374,1,1,CHD2
0.000192080582932692,-0.106611107867825,0.323,0.239,1,1,CITED4
0.000194050155171804,-0.199299293239469,0.038,0.1,1,1,METTL1
0.00019418689784132,-0.210118345938049,0.199,0.244,1,1,CETN2
0.000196326643006551,-0.278196464723871,0.09,0.18,1,1,TRIM59
0.000196342915417784,0.198492883017919,0.575,0.435,1,1,CHMP4B
0.000199061734882014,-0.197260293169028,0.105,0.169,1,1,RIOX2
0.000199088401721808,0.0125887598830733,0.361,0.286,1,1,FIBP
0.000199685478947017,-0.264463942882704,0.477,0.548,1,1,KYNU
0.000199774212618938,-0.290372201926611,0.184,0.273,1,1,SPATA6
0.000200684025491458,-0.134612935560995,0.756,0.729,1,1,ERP29
