,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
NUTF2,5.81372724187012e-15,-0.198539193694779,0.045,0.214,9.99728536511987e-11,NUTF2
ACBD5,5.88712600480046e-15,0.377577240192207,0.119,0.14,1.01235018778549e-10,ACBD5
NF1,5.89910676863276e-15,0.612723360704397,0.142,0.076,1.01441039993409e-10,NF1
MTCH1,5.93650499618469e-15,-0.0861670756318711,0.06,0.203,1.02084139914392e-10,MTCH1
ZMAT5,5.96693966851255e-15,-0.533508026842833,0,0.208,1.02607494539742e-10,ZMAT5
RANBP1,6.00735350944446e-15,-0.356819328480663,0.075,0.305,1.03302450948407e-10,RANBP1
SERINC5,6.02836064808654e-15,0.596776357330791,0.179,0.122,1.03663689704496e-10,SERINC5
RUBCN,6.09550462881179e-15,0.29212685687256,0.127,0.191,1.04818297597048e-10,RUBCN
PTPN11,6.1128840776213e-15,0.355629827574139,0.127,0.157,1.05117154598776e-10,PTPN11
PTGS2,6.11863684766357e-15,1.47471111150664,0.388,0.262,1.05216079232423e-10,PTGS2
U2AF2,6.17891649006236e-15,-0.185198269481611,0.052,0.224,1.06252647963112e-10,U2AF2
HJURP,6.26280881907404e-15,0.693568177771956,0.157,0.093,1.07695260452797e-10,HJURP
1810022K09RIK,6.39830465456137e-15,-0.323669576402026,0.067,0.292,1.10025246839837e-10,1810022K09RIK
