,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4441,3.39760986207424e-33,1.02578332416312,0.662,0.313,5.84252991882287e-29,1,PHF11B
4448,1.88252070153735e-32,1.02015827293017,0.639,0.27,3.23718259836362e-28,1,TNFRSF9
4413,5.05642443668648e-39,1.01939116590367,0.846,0.471,8.69502746132607e-35,1,NEAT1
4399,1.79625866298443e-41,1.01890238893238,0.425,0.067,3.08884639686803e-37,1,RSAD2
4552,2.73315671925535e-24,1.01722991837145,0.459,0.183,4.6999362944315e-20,1,CAR2
4629,8.23246511189461e-22,1.01621762340255,0.436,0.175,1.4156547006414e-17,1,TDH
4822,2.69559925686856e-16,1.00192130213689,0.883,0.949,4.63535248211118e-12,1,TAGLN2
4383,3.91026596756337e-45,0.998834810785253,0.925,0.637,6.72409335782197e-41,1,ITM2C
4425,4.73443616274225e-37,0.998280738731664,0.951,0.786,8.14133642545157e-33,1,ID2
4377,4.85599635933133e-48,0.994510544337987,0.887,0.605,8.35037133950615e-44,1,TAPBP
4360,2.19838027413092e-52,0.968974768109461,0.406,0.041,3.78033471939553e-48,1,CTRC
4420,5.95550066771653e-38,0.960475795104509,0.65,0.245,1.02410789482053e-33,1,IL15
4408,1.82748412566771e-39,0.957683765719119,0.756,0.358,3.14254170249819e-35,1,SLC6A6
4756,8.18700475869456e-18,0.948568636722442,0.793,0.616,1.40783733830512e-13,1,SERPINB6B
4385,8.71429974867277e-45,0.945709666523311,0.459,0.074,1.49851098478177e-40,1,ARC
4430,9.46474516233043e-36,0.940908466978143,0.726,0.325,1.62755757811434e-31,1,TNFRSF1B
5420,8.56674384533288e-09,0.940902361798897,0.902,0.85,0.000147313727164344,1,CCL5
4697,2.26524336227411e-19,0.93649601646041,0.139,0.009,3.89531248576656e-15,1,MMP7
4539,4.04342058302384e-25,0.925414141686465,0.38,0.111,6.9530660345678e-21,1,MIR155HG
4419,5.64266894520628e-38,0.920459941695176,0.692,0.308,9.70313351817671e-34,1,FAM177A
4468,3.05385914148009e-30,0.917746305921062,0.609,0.261,5.25141617968916e-26,1,PLA2G16
4475,8.63502040360371e-30,0.917532236732536,0.876,0.681,1.48487810860369e-25,1,ITGA4
4426,7.84869572447619e-37,0.916174717700129,0.568,0.175,1.34966171678093e-32,1,GPR137B
4699,2.79737649244462e-19,0.914239217325904,0.628,0.37,4.81036861640777e-15,1,AIRE
4349,4.69329518840754e-59,0.907398595601309,0.421,0.03,8.07059040598561e-55,1,MYLK
4437,5.5371192787155e-34,0.898980657243507,0.639,0.256,9.52163031167917e-30,1,TAPBPL
4866,2.13137494173781e-15,0.898669693185521,0.147,0.018,3.66511234981234e-11,1,SERPINE1
4456,2.11665039106993e-31,0.885647032252892,0.699,0.342,3.63979201248385e-27,1,RNF115
4535,1.92179238852665e-25,0.884342954744319,0.624,0.291,3.30471419131043e-21,1,CRYAA
4398,1.77309602020501e-41,0.874901896004945,0.538,0.148,3.04901591634453e-37,1,OSBPL3
4529,1.12820370095922e-25,0.873954753313463,0.508,0.226,1.94005908416947e-21,1,GUSB
4466,2.91946355330774e-30,0.866098079981201,0.748,0.399,5.02030952626799e-26,1,RCSD1
4482,4.05931782699678e-29,0.865185559406453,0.214,0.015,6.98040293530366e-25,1,1700016F12RIK
4403,1.4995801659548e-40,0.863032957826268,0.906,0.562,2.57867805337588e-36,1,PSMB9
4412,3.44486405147613e-39,0.86188462652643,0.541,0.143,5.92378822291836e-35,1,CPNE2
4368,3.44113437554962e-50,0.857966896274652,0.962,0.843,5.91737467219512e-46,1,ATP6V0E
4440,3.33268819493503e-33,0.857929468484025,0.684,0.285,5.73089062001028e-29,1,UBE2L6
4389,9.35601432040474e-44,0.857209358672036,0.996,0.935,1.6088602225368e-39,1,PSME2
4514,2.44364045046255e-26,0.854032832910197,0.635,0.299,4.2020841186154e-22,1,TRPM2
4434,1.33465456778687e-34,0.842623585859305,0.876,0.688,2.2950719947663e-30,1,VCP
4463,1.02158160547136e-30,0.839174234991668,0.692,0.373,1.75671172876855e-26,1,PSMG4
4459,9.2526314441401e-31,0.838549161093868,0.677,0.32,1.59108250313433e-26,1,TAP2
4452,1.24304717147591e-31,0.834098200586305,0.65,0.282,2.13754391606997e-27,1,STX11
4835,4.68491393286819e-16,0.832479113320517,0.88,0.754,8.05617799896013e-12,1,MIF
4497,1.10573636507863e-27,0.831572269769372,0.737,0.386,1.90142425338921e-23,1,ARL5C
4516,3.58946815736932e-26,0.828068276862474,0.387,0.104,6.17244944341228e-22,1,HEBP1
4504,7.99245528972268e-27,0.826805480531344,0.868,0.666,1.37438261162071e-22,1,ABRACL
4798,8.47332688300963e-17,0.818027513509461,0.801,0.62,1.45707329080234e-12,1,NPC2
4393,9.95319765612796e-43,0.811028518777467,0.466,0.086,1.71155186894776e-38,1,EXOC3L4
4575,1.97289670478655e-23,0.80724199048904,0.624,0.307,3.39259317355095e-19,1,CTSC
4751,6.04680021421647e-18,0.807081673801399,0.733,0.53,1.03980776483666e-13,1,CRISPLD2
4397,1.06840549432e-41,0.806906564561753,0.966,0.833,1.83723008803267e-37,1,CTSZ
4460,9.3805588230061e-31,0.806676247755647,0.756,0.452,1.61308089520413e-26,1,NFKBIB
4388,5.4189865974899e-44,0.805081580249782,0.97,0.869,9.31848935304363e-40,1,PSME1
4461,9.97738244314609e-31,0.804738791032407,0.489,0.173,1.7157106849234e-26,1,HAGH
4641,1.95757458772254e-21,0.803421019096348,0.801,0.578,3.36624526104768e-17,1,PPDPF
4479,2.50675377674033e-29,0.799672183130351,0.62,0.279,4.31061379448267e-25,1,EDEM1
4522,6.25047566320767e-26,0.798000425456683,0.56,0.257,1.07483179504519e-21,1,VWA5A
4439,3.23024709927197e-33,0.788234686248349,0.553,0.178,5.55473291190808e-29,1,ADCY6
4486,1.54565853665581e-28,0.785597676466247,0.598,0.245,2.65791441963333e-24,1,SNN
